SR T Gl W HmDs	HmUBp	HmaxUB  	TrDs	TrUBp	TrUB    	TIFgap	LimCIPF	Time	STATUS
c3 7 1  5 2.000	1.072	7783.777	2.000	1.822	35385.692	0.100	112.132	7796.000	SCIPcrash
c1 5 1  1 1.500	1.054	5862.493	1.500	1.966	16654.977	0.000	101.025	11.000	infeasible
c3 7 1  1 2.000	1.072	7783.777	2.000	1.822	35385.692	0.000	124.592	10000.010	time_out
c1 5 1  2 1.500	1.054	5862.493	1.500	1.966	16654.977	0.000	101.025	10000.010	time_out
c3 7 1  2 2.000	1.072	7783.777	2.000	1.822	35385.692	0.000	124.592	10000.020	time_out
c1 5 1  3 1.500	1.054	5862.493	1.500	1.966	16654.977	0.000	101.025	10000.010	time_out
c3 7 1  3 2.000	1.072	7783.777	2.000	1.822	35385.692	0.000	124.592	10000.060	time_out
c1 5 1  4 1.500	1.054	5862.493	1.500	1.966	16654.977	0.000	101.025	663.000	SCIPcrash
c3 7 1  4 2.000	1.072	7783.777	2.000	1.822	35385.692	0.000	124.592	10000.030	time_out
c1 5 1  5 1.500	1.054	5862.493	1.500	1.966	16654.977	0.000	101.025	10000.020	time_out
c3 7 1  5 2.000	1.072	7783.777	2.000	1.822	35385.692	0.000	124.592	10000.030	time_out
c1 5 1  1 1.500	1.058	5883.275	1.500	1.987	16834.594	0.400	60.615	0.030	infeasible
c3 7 1  1 2.000	1.079	7836.316	2.000	1.850	35938.473	0.400	74.755	49.400	infeasible
c1 5 1  2 1.500	1.058	5883.275	1.500	1.987	16834.594	0.400	60.615	6.670	infeasible
c3 7 1  2 2.000	1.079	7836.316	2.000	1.850	35938.473	0.400	74.755	2137.900	infeasible
c1 5 1  3 1.500	1.058	5883.275	1.500	1.987	16834.594	0.400	60.615	11.430	infeasible
c3 7 1  3 2.000	1.079	7836.316	2.000	1.850	35938.473	0.400	74.755	10000.020	time_out
c1 5 1  4 1.500	1.058	5883.275	1.500	1.987	16834.594	0.400	60.615	22.450	infeasible
c3 7 1  4 2.000	1.079	7836.316	2.000	1.850	35938.473	0.400	74.755	10000.030	time_out
c1 5 1  5 1.500	1.058	5883.275	1.500	1.987	16834.594	0.400	60.615	30.540	infeasible
c3 7 1  5 2.000	1.079	7836.316	2.000	1.850	35938.473	0.400	74.755	109.320	infeasible
c1 5 1  1 1.500	1.058	5883.275	1.500	1.987	16834.594	0.300	70.718	1.250	infeasible
c1 5 1  2 1.500	1.058	5883.275	1.500	1.987	16834.594	0.300	70.718	13.380	infeasible
c1 5 1  3 1.500	1.058	5883.275	1.500	1.987	16834.594	0.300	70.718	32.160	infeasible
c1 5 1  4 1.500	1.058	5883.275	1.500	1.987	16834.594	0.300	70.718	70.560	infeasible
c1 5 1  5 1.500	1.058	5883.275	1.500	1.987	16834.594	0.300	70.718	82.360	infeasible
c2 6 1  1 1.000	1.120	6636.342	1.500	1.931	24960.654	0.500	57.773	2.630	infeasible
c2 6 2  1 0.000	1.290	3822.214	1.500	2.033	7972.642	0.500	57.773	0.180	infeasible
c2 6 3  1 0.500	1.241	2451.737	1.000	2.212	5231.979	0.500	57.773	0.020	infeasible
c4 8 1  1 2.000	1.109	9040.528	2.500	1.924	51660.776	0.500	67.369	375.820	infeasible
c4 8 2  1 0.000	1.195	4870.217	1.500	2.140	16468.432	0.500	67.369	6.780	infeasible
c4 8 3  1 0.000	1.302	3536.931	1.000	2.189	10882.278	0.500	67.369	0.650	infeasible
